Key,Value
1997,715
1998,788
1964,266
1993,665
1949,71
2010,530
1996,745
2005,806
1991,545
2002,721
2007,736
1982,377
1940,203
2009,568
1989,613
1990,870
1951,80
2011,435
1970,731
1986,469
1978,393
1939,49
1950,355
1947,55
1974,232
1926,23
1965,308
1969,288
2008,683
25,6
1980,824
1995,758
2006,740
2000,896
1934,35
1992,649
2013,218
1935,43
2003,799
2004,811
1954,100
1963,234
1946,79
1983,375
1999,782
1976,334
1971,216
2014,138
1985,471
2012,367
1994,640
1977,348
1981,352
1984,391
1968,292
2001,711
1987,457
1988,505
1979,400
1966,256
1972,217
1960,716
1916,11
1967,275
1955,115
1975,328
1959,175
40,5
1962,222
1973,230
198,8
1938,33
1956,150
1899,9
1936,40
1957,149
1952,70
1929,24
3,1
1909,4
1862,2
1930,153
1920,125
1948,63
1910,26
1914,7
1941,22
1922,13
1902,5
1937,32
1924,24
1931,25
1945,59
1849,1
1927,33
1925,22
1961,165
19,8
10,3
90,5
1870,2
1958,206
2015,67
1943,36
39,1
1942,46
1895,5
1944,39
1921,7
1892,1
1953,88
77,1
1919,14
1889,1
22,1
1878,1
1917,5
1904,4
18,1
1860,1
1912,9
1928,23
1900,14
1933,37
1932,19
1918,9
80,18
1890,7
1923,15
52,1
1875,3
1905,4
1867,1
1891,2
1903,8
1915,6
36,1
33,1
199,6
1880,6
196,2
11,2
1894,2
70,5
1790,1
13,1
56,1
195,1
20,4
35,3
1888,2
1906,1
1901,5
1879,1
1898,2
1908,3
1814,1
1897,3
1872,1
-2005,1
1844,1
50,3
1885,4
1852,2
31,1
1755,1
1596,1
1,1
1873,2
1893,3
60,2
1907,1
1869,1
1770,1
1845,1
197,6
16,1
1913,3
1863,1
1876,2
1850,2
30,3
1865,1
94,1
1887,2
1911,5
1776,1
17,1
8,2
1877,1
37,2
41,2
1883,1
45,1
1695,1
65,1
1774,1
5,1
350,1
32,1
27,1
12,1
1886,1
